id;exp_number;eluent_value;x1;x2;x3;gold;silver
1;1;1;-;-;-;0,70;11,00
2;1;2;-;-;-;6,90;47,50
3;1;3;-;-;-;17,80;74,00
4;1;4;-;-;-;28,90;87,40
5;1;5;-;-;-;38,60;92,50
6;1;6;-;-;-;46,60;95,20
7;1;7;-;-;-;53,40;96,20
8;1;8;-;-;-;59,90;96,80
9;1;9;-;-;-;65,10;97,20
10;1;10;-;-;-;69,40;97,50
11;1;11;-;-;-;73,40;97,50
12;1;12;-;-;-;77,20;97,50
13;1;13;-;-;-;80,00;97,50
14;1;experimental;-;-;-;99,40;99,60
15;1;calculated;-;-;-;97,50;97,00
16;2;1;+;-;-;28,40;60,40
17;2;2;+;-;-;70,70;69,10
18;2;3;+;-;-;85,70;71,40
19;2;4;+;-;-;90,30;71,40
20;2;5;+;-;-;91,70;71,40
21;2;6;+;-;-;92,10;71,40
22;2;7;+;-;-;92,20;71,40
23;2;8;+;-;-;92,20;71,40
24;2;9;+;-;-;92,30;71,40
25;2;10;+;-;-;92,30;71,40
26;2;11;+;-;-;92,30;71,40
27;2;12;+;-;-;92,30;71,40
28;2;13;+;-;-;92,30;71,40
29;2;experimental;+;-;-;92,30;92,20
30;2;calculated;+;-;-;71,40;65,60
31;3;1;-;+;-;1,40;4,40
32;3;2;-;+;-;7,50;20,60
33;3;3;-;+;-;15,00;46,00
34;3;4;-;+;-;22,30;62,40
35;3;5;-;+;-;28,50;73,40
36;3;6;-;+;-;35,00;81,30
37;3;7;-;+;-;41,10;86,40
38;3;8;-;+;-;47,50;90,10
39;3;9;-;+;-;51,80;92,60
40;3;10;-;+;-;57,00;94,20
41;3;11;-;+;-;61,50;95,40
42;3;12;-;+;-;65,30;96,20
43;3;13;-;+;-;69,00;97,00
44;3;experimental;-;+;-;99,50;99,80
45;3;calculated;-;+;-;98,10;98,40
46;4;1;+;+;-;38,50;66,30
47;4;2;+;+;-;73,00;78,10
48;4;3;+;+;-;88,20;80,20
49;4;4;+;+;-;94,20;80,70
50;4;5;+;+;-;95,80;80,70
51;4;6;+;+;-;97,00;80,70
52;4;7;+;+;-;97,70;80,70
53;4;8;+;+;-;97,70;80,70
54;4;9;+;+;-;97,70;80,70
55;4;10;+;+;-;97,70;80,70
56;4;11;+;+;-;97,70;80,70
57;4;12;+;+;-;97,70;80,70
58;4;13;+;+;-;97,70;80,70
59;4;experimental;+;+;-;97,70;96,60
60;4;calculated;+;+;-;80,70;83,00
61;5;1;-;-;+;2,50;13,40
62;5;2;-;-;+;10,10;45,10
63;5;3;-;-;+;20,80;67,30
64;5;4;-;-;+;30,20;80,00
65;5;5;-;-;+;39,20;85,90
66;5;6;-;-;+;47,80;88,50
67;5;7;-;-;+;56,10;89,60
68;5;8;-;-;+;62,50;90,30
69;5;9;-;-;+;68,70;90,70
70;5;10;-;-;+;73,30;90,70
71;5;11;-;-;+;76,90;90,70
72;5;12;-;-;+;80,70;90,70
73;5;13;-;-;+;83,40;90,70
74;5;experimental;-;-;+;99,20;98,90
75;5;calculated;-;-;+;90,70;93,80
76;6;1;+;-;+;33,20;53,50
77;6;2;+;-;+;72,70;62,20
78;6;3;+;-;+;80,10;63,20
79;6;4;+;-;+;81,90;63,20
80;6;5;+;-;+;82,40;63,20
81;6;6;+;-;+;82,50;63,20
82;6;7;+;-;+;82,60;63,20
83;6;8;+;-;+;82,60;63,20
84;6;9;+;-;+;82,60;63,20
85;6;10;+;-;+;82,60;63,20
86;6;11;+;-;+;82,60;63,20
